ACER,,
DELL PLUS 16 (LDB06250-7144BLU) 16″ FULLHD+ TOUCHSCREEN LAPTOP 2-IN-1 ICE BLUE (Pad Numerico),USD 1.300,STK
"Processor: 2.2 GHz Intel Core Ultra 7 Series 2 256V (8-Core), Memory: 16GB LPDDR5X 8533Mhz RAM, Storage: 1TB PCIe® G4 SSD, Video Card: Integrated Intel Arc Graphics 140V, Display: 16″ WUXGA (1920×1200) TOUCHSCREEN 60 Hz, Wi-Fi 7 (802.11be), Bluetooth",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 2.05Kg, Integrated Resolution 1080p FULL HD Webcam",,
DELL 16S (LDS16260-7779BLU) 2K TOUCHCREEN LAPTOP CELESTIAL BLUE,USD 1.600,ING
"Processor: Intel Core Ultra 7 355, Memory: 16GB LPDDR5X RAM, Storage: 512GB PCIe NVMe SSD, Video Card: Intel Graphics, Display: 16"" FHD+ Touch 1920×1200 60Hz 400 nits, Wi-Fi 7 + Bluetooth.",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 2.05Kg, Integrated Resolution 1080p FULL HD Webcam",,
"DELL PLUS 16 (LDB16250-7014BLU) 16"" FHD+ TOUCHSCREEN NOTEBOOK ICE BLUE (Pad Numerico)",USD 1.600,STK
"Processor: Intel® Core™ Ultra 7 processor 258V (12MB Cache, 8 cores, up to 4.8 GHz), Memory: 32GB, LPDDR5X, 8533MT/s, , Storage: 1TB M.2 PCIe NVMe Solid State Drive, Display: 16"" FHD+ (1920 x 1200) Touch 300nits WVA 16:10 Display with ComfortView, Intel Wi-Fi 7 BE201, 2x2, 802.11be & Bluetooth 5.4",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 2.05Kg, Integrated Resolution 1080p FULL HD Webcam",,
"DELL PRO 16 (PC16250-3HN1W) 16"" FHD+ NOTEBOOK PLATINUM SILVER (Pad Numérico)",USD 1.850,STK
"Processor: Intel® Core™ Ultra 5 235U vPro® (12 TOPS NPU up to 4.9 GHz) (12 cores), Memory: 32GB DDR5, 5600 MT/s RAM, Storage: 512GB, Video Card: Intel Graphics, Display: 16"" FHD+ (1920 x 1200) Panel IPS Refresh Rate 60 Hz, Gigabit Ethernet, 802.11ax Wireless LAN, Bluetooth",,
"Microsoft® Windows 11 PRO (64-bit), preinstalado
 Peso 2.05Kg, Integrated Resolution 1080p FULL HD Webcam",,
"Dell 16 PREMIUM (DA16250-D0RG4) 16.3"" FULL HD+ NOTEBOOK PLATINUM",USD 3.100,STK
"Processor: Intel® Core™ Ultra 9 Processor 285H 24M Cache, up to 5.40 GHz (16-core), Memory: 32 GB: LPDDR5X, 7467 MT/s RAM, Storage: 1 TB SSD M.2 NVMe PCIe 4.0 4x, Display: 16.3"" 1920x1080 (Full HD) Refresh rate: 120 Hz, Brightness: 500 nt, Wi-Fi 7 (802.11be)",,
Video Card: NVIDIA® RTX5060 8192MB,,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 2.30Kg, Integrated Resolution 1080p FULL HD Webcam",,
"Dell 16 PREMIUM (DA16250-YV8WF) 16,3"" 4K OLED TOUCHSCREEN 120Hz PLATINUM PLATINUM",USD 3.400,STK
"Processor: Intel® Core™ Ultra 9 Processor 285H 24M Cache, up to 5.40 GHz (16-core), Memory: 32 GB: LPDDR5X, 7467 MT/s RAM, Storage: 1 TB SSD M.2 NVMe PCIe 4.0 4x, Display: 16.3"" WQUXGA (3840x2400) TOUCHSCREEN OLED, Wi-Fi 7 (802.11be)",,
Video Card: NVIDIA GeForce RTX5060 with 8GB GDDR7,,
"Microsoft® Windows 11 PRO (64-bit), preinstalado
 Peso 2.30Kg, Integrated Resolution 1080p FULL HD Webcam",,
HP,,
"HP OMNIBOOK X FLIP (14-FM0013DX) 14"" 2K TOUCHSCREEN LAPTOP 2-IN-1 ATMOSPHERIC BLUE",USD 1.150,STK
"Processor: 4.5 gigahertz Intel Core Ultra 5 Series 226V (8-core), Memory: 16GB LPDDR5 8533 megahertz, Storage: 512GB PCle® NVMe™ M.2 Solid State Drive, Video Card: Intel Arc 130V, Display: 14"" IPS 1920 x 1200 (Full HD+) Touchscreen 400 nits, Wi-Fi: Wi-Fi 6 (802.11ax), Bluetooth 5.3",,
"Windows 11 Home x64 bits, preinstalado.
 Peso 1,39 Kg. - HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones",,
"HP OMNIBOOK X FLIP (14-KB0023DX) 14"" 2K TOUCHSCREEN LAPTOP 2-IN-1 METEOR SILVER",USD 1.600,STK
"Processor: 4.7 gigahertz Intel Core Ultra 7 Series 355 (8-core), Memory: 16GB LPDDR5X 7467 megahertz RAM, Storage: 1TB PCIe 4.0 SSD, Video Card: Intel Graphics Integrated, Display: 14"" Full HD+ (1920x1200) UWVA OLED Touch Screen Brightness: 300 nits, Wi-Fi 7, Bluetooth 5.4",,
"Windows 11 Home x64 bits, preinstalado.
 Peso 1,39 Kg. - HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones",,
"HP ELITEBOOK 8 G1i NEXT GEN (BG7N6UT#ABA) 14"" 2K TOUCHSCREEN LAPTOP GLACIER SILVER",USD 2.050,STK
